domain,count
"121.26.168.192.in-addr.arpa",6
"121.27.168.192.in-addr.arpa",10
"121.28.168.192.in-addr.arpa",16
"122.202.168.192.in-addr.arpa",18
"122.21.168.192.in-addr.arpa",20
"122.22.168.192.in-addr.arpa",16
"122.229.168.192.in-addr.arpa",58
"122.23.168.192.in-addr.arpa",16
"122.24.168.192.in-addr.arpa",8
"122.25.168.192.in-addr.arpa",6
"122.26.168.192.in-addr.arpa",8
"122.27.168.192.in-addr.arpa",10
"122.28.168.192.in-addr.arpa",14
"123.109.254.169.in-addr.arpa",4
"123.202.168.192.in-addr.arpa",56
"123.21.168.192.in-addr.arpa",20
"123.22.168.192.in-addr.arpa",16
"123.229.168.192.in-addr.arpa",58
"123.23.168.192.in-addr.arpa",14
"123.24.168.192.in-addr.arpa",10
"123.25.168.192.in-addr.arpa",6
"123.26.168.192.in-addr.arpa",6
"123.27.168.192.in-addr.arpa",12
"123.28.168.192.in-addr.arpa",14
"124.21.168.192.in-addr.arpa",20
"124.22.168.192.in-addr.arpa",16
"124.229.168.192.in-addr.arpa",58
"124.23.168.192.in-addr.arpa",14
"124.24.168.192.in-addr.arpa",8
"124.25.168.192.in-addr.arpa",8
"124.26.168.192.in-addr.arpa",6
"124.27.168.192.in-addr.arpa",10
"124.28.168.192.in-addr.arpa",16
"125.202.168.192.in-addr.arpa",6
"125.21.168.192.in-addr.arpa",20
"125.22.168.192.in-addr.arpa",16
"125.229.168.192.in-addr.arpa",58
"125.23.168.192.in-addr.arpa",14
"125.24.168.192.in-addr.arpa",8
"125.25.168.192.in-addr.arpa",6
"125.26.168.192.in-addr.arpa",8
"125.27.168.192.in-addr.arpa",10
"125.28.168.192.in-addr.arpa",14
"126.21.168.192.in-addr.arpa",20
"126.22.168.192.in-addr.arpa",16
"126.229.168.192.in-addr.arpa",58
"126.23.168.192.in-addr.arpa",14
"126.24.168.192.in-addr.arpa",12
"126.25.168.192.in-addr.arpa",6
"126.26.168.192.in-addr.arpa",6
"126.27.168.192.in-addr.arpa",12
"126.28.168.192.in-addr.arpa",14
"127.21.168.192.in-addr.arpa",22
"127.22.168.192.in-addr.arpa",16
"127.229.168.192.in-addr.arpa",58
"127.23.168.192.in-addr.arpa",14
"127.24.168.192.in-addr.arpa",8
"127.25.168.192.in-addr.arpa",8
"127.26.168.192.in-addr.arpa",6
"127.27.168.192.in-addr.arpa",10
"127.28.168.192.in-addr.arpa",16
"128.202.168.192.in-addr.arpa",8
"128.21.168.192.in-addr.arpa",20
"128.22.168.192.in-addr.arpa",18
"128.229.168.192.in-addr.arpa",58
"128.23.168.192.in-addr.arpa",14
"128.24.168.192.in-addr.arpa",8
"128.25.168.192.in-addr.arpa",6
"128.26.168.192.in-addr.arpa",8
"128.27.168.192.in-addr.arpa",10
"128.28.168.192.in-addr.arpa",14
"129.14.0.193.in-addr.arpa",32
"129.202.168.192.in-addr.arpa",8
"129.21.168.192.in-addr.arpa",20
"129.22.168.192.in-addr.arpa",16
"129.229.168.192.in-addr.arpa",58
"129.23.168.192.in-addr.arpa",14
"129.24.168.192.in-addr.arpa",8
"129.25.168.192.in-addr.arpa",6
"129.26.168.192.in-addr.arpa",6
"129.27.168.192.in-addr.arpa",12
"129.28.168.192.in-addr.arpa",14
"13-courier.push.apple.com",80
"13.1.16.172.in-addr.arpa",4
"13.202.168.192.in-addr.arpa",2
"13.21.168.192.in-addr.arpa",22
"13.22.168.192.in-addr.arpa",16
"13.229.168.192.in-addr.arpa",58
"13.23.168.192.in-addr.arpa",24
"13.24.168.192.in-addr.arpa",8
"13.25.168.192.in-addr.arpa",6
"13.26.168.192.in-addr.arpa",6
"13.27.168.192.in-addr.arpa",14
"13.28.168.192.in-addr.arpa",14
